# of Entries,DB Type,Action,Sub-Action Type,Value Type,Time to Complete
3000,Redis,Update,,String,0.1822767089999786
3000,MySQL,Update,,String,0.001886624999997366
3000,Mongo,Update,,Int,10.046118541999988
3000,Redis,Update,,Int,0.18262491600000885
3000,MySQL,Update,,Int,0.0021959169999945516
3000,Mongo,Update,,Complex,13.384820000000019
3000,Redis,Update,,Complex,0.21622241700003997
3000,MySQL,Update,,Complex,0.0036235829999782254
3000,Mongo,Delete,,String,0.14348245799999404
3000,Redis,Delete,,String,0.022718458000014152
3000,MySQL,Delete,,String,0.0013185410000176034
3000,Mongo,Delete,,Int,1.9762850829999934
3000,Redis,Delete,,Int,0.05952258300001745
3000,MySQL,Delete,,Int,0.0017173329999877751
3000,Mongo,Delete,,Complex,2.2383224579999705
3000,Redis,Delete,,Complex,0.0660771670000031
3000,MySQL,Delete,,Complex,0.0020663330000161295
3500,Mongo,Insert,,String,0.49098679200000106
3500,Redis,Insert,,String,0.1210359170000288
3500,MySQL,Insert,,String,0.0019254170000522208
3500,Mongo,Insert,,Int,0.49341225000000577
3500,Redis,Insert,,Int,0.12389087500002915
3500,MySQL,Insert,,Int,0.001944084000001567
3500,Mongo,Insert,,Complex,0.5298678330000257
3500,Redis,Insert,,Complex,0.14489279200000738
3500,MySQL,Insert,,Complex,0.0036977080000042406
3500,Mongo,Search,single-search,String,19.607978833000004
3500,Mongo,Search,multi-search,String,0.07164087500001415
3500,Mongo,Search,find all,String,5.792000024484878e-06
3500,Redis,Search,single-search,String,0.22521875000001046
3500,Redis,Search,multi-search,String,0.6085079169999972
3500,Redis,Search,find all,String,0.10448287500003062
3500,MySQL,Search,single-search,String,4.8602670829999965
3500,MySQL,Search,multi-search,String,31.98720741599999
3500,MySQL,Search,find all,String,0.0006957079999665439
3500,Mongo,Search,single-search,Int,28.42453891699995
3500,Mongo,Search,multi-search,Int,0.05369737499995608
3500,Mongo,Search,find all,Int,5.625000028430804e-06
3500,Redis,Search,single-search,Int,0.23964720800000805
3500,Redis,Search,multi-search,Int,0.6603124580000213
3500,Redis,Search,find all,Int,0.10487399999999525
3500,MySQL,Search,single-search,Int,0.0023075830000038877
3500,MySQL,Search,multi-search,Int,0.003145625000001928
3500,MySQL,Search,find all,Int,0.0008052919999954611
3500,Mongo,Search,single-search,Complex,27.719016333000013
3500,Mongo,Search,multi-search,Complex,0.06477912499997274
3500,Mongo,Search,find all,Complex,5.874999999377906e-06
3500,Redis,Search,single-search,Complex,0.23851575000003322
3500,Redis,Search,multi-search,Complex,0.6815493340000103
3500,Redis,Search,find all,Complex,0.10920304199999009
3500,MySQL,Search,single-search,Complex,0.002102125000021715
3500,MySQL,Search,multi-search,Complex,0.0033840419999933147
3500,MySQL,Search,find all,Complex,0.0007818330000191054
3500,Mongo,Update,,String,15.538031208999996
3500,Redis,Update,,String,0.2148813329999939
3500,MySQL,Update,,String,0.0019865410000079464
3500,Mongo,Update,,Int,15.18104845800002
3500,Redis,Update,,Int,0.21210333400000536
3500,MySQL,Update,,Int,0.002318624999986696
3500,Mongo,Update,,Complex,16.685788917000025
3500,Redis,Update,,Complex,0.24198195799999667
3500,MySQL,Update,,Complex,0.004182624999998552
3500,Mongo,Delete,,String,0.1603662499999814
3500,Redis,Delete,,String,0.02884604199999785
3500,MySQL,Delete,,String,0.0013706670000033228
3500,Mongo,Delete,,Int,2.782783875000007
3500,Redis,Delete,,Int,0.07216916699997
3500,MySQL,Delete,,Int,0.0017497910000088268
3500,Mongo,Delete,,Complex,2.8741022500000213
3500,Redis,Delete,,Complex,0.07600129200000083
3500,MySQL,Delete,,Complex,0.001965874999996231
4000,Mongo,Insert,,String,0.5574607909999827
4000,Redis,Insert,,String,0.14173241700001427
4000,MySQL,Insert,,String,0.001859334000016588
4000,Mongo,Insert,,Int,0.5398761669999885
4000,Redis,Insert,,Int,0.13768229199990856
4000,MySQL,Insert,,Int,0.0020671249999395513
4000,Mongo,Insert,,Complex,0.5901763330000449
4000,Redis,Insert,,Complex,0.1580860000000257
4000,MySQL,Insert,,Complex,0.003954541999974026
4000,Mongo,Search,single-search,String,26.01018325000001
4000,Mongo,Search,multi-search,String,0.0800310000000195
4000,Mongo,Search,find all,String,5.291999968903838e-06
4000,Redis,Search,single-search,String,0.28295891600004097
4000,Redis,Search,multi-search,String,0.8111714160000361
4000,Redis,Search,find all,String,0.11968595799999093
4000,MySQL,Search,single-search,String,33.33293258399999
4000,MySQL,Search,multi-search,String,33.384142000000054
4000,MySQL,Search,find all,String,0.0007142910000084157
4000,Mongo,Search,single-search,Int,37.51723845799995
4000,Mongo,Search,multi-search,Int,0.07484749999991891
4000,Mongo,Search,find all,Int,5.208999937167391e-06
4000,Redis,Search,single-search,Int,0.2819867079999767
4000,Redis,Search,multi-search,Int,0.7866427909999629
4000,Redis,Search,find all,Int,0.11960658299994975
4000,MySQL,Search,single-search,Int,0.0025629579999986163
4000,MySQL,Search,multi-search,Int,0.0038889580000613932
4000,MySQL,Search,find all,Int,0.0007180000000062137
4000,Mongo,Search,single-search,Complex,37.33253612500005
4000,Mongo,Search,multi-search,Complex,0.06007162499997776
4000,Mongo,Search,find all,Complex,5.957999974270933e-06
4000,Redis,Search,single-search,Complex,0.2940408749999506
4000,Redis,Search,multi-search,Complex,0.8255629579999777
4000,Redis,Search,find all,Complex,0.1423333330000105
4000,MySQL,Search,single-search,Complex,0.0025233750000097643
4000,MySQL,Search,multi-search,Complex,0.004021040999987235
4000,MySQL,Search,find all,Complex,0.0007552499999974316
4000,Mongo,Update,,String,19.897888500000022
4000,Redis,Update,,String,0.23749979199999416
4000,MySQL,Update,,String,0.00210104199993566
4000,Mongo,Update,,Int,25.07440650000001
4000,Redis,Update,,Int,0.2554625829999395
4000,MySQL,Update,,Int,0.0022743750000699947
4000,Mongo,Update,,Complex,20.61194866699998
4000,Redis,Update,,Complex,0.2740499579999778
4000,MySQL,Update,,Complex,0.004504250000081811
4000,Mongo,Delete,,String,0.18584166699997695
4000,Redis,Delete,,String,0.041713334000064606
4000,MySQL,Delete,,String,0.0012303329999667767
4000,Mongo,Delete,,Int,3.523304458000098
4000,Redis,Delete,,Int,0.0787510420000217
4000,MySQL,Delete,,Int,0.0021009580000281858
4000,Mongo,Delete,,Complex,3.7180267919999324
4000,Redis,Delete,,Complex,0.0791545419999693
4000,MySQL,Delete,,Complex,0.001993207999930746
